VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,CBT Reset Lock,NB_LAST_BACKUP,DataProtection,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
PRD-RDS-069,poweredOn,False,False,green,prd-rds-069.corp.example,connected,running,green,False,2026/08/11 01:43:00,,,,2018/01/22 02:50:00,,8,0,32768,10038,1,2,593920,,,normal,,True,TRUE,10.10.120.50,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,626988,252895,252895,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,14,none,never,,[prod-vmfs-03] PRD-RDS-069/PRD-RDS-069.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1068,,42f5c9b09c10c5720f6b40d09efba58b,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-070,poweredOn,False,False,green,prd-web-070.corp.example,connected,running,green,False,2026/08/09 22:28:00,,,,2019/12/14 18:12:00,,2,2,8192,911,1,3,4198400,,,normal,,True,TRUE,10.10.110.24,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,4206892,3461890,3461890,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,19,none,never,,[prod-vmfs-01] PRD-WEB-070/PRD-WEB-070.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1069,,4268949b00af5b3a2812859a1337739e,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-071,poweredOn,False,False,green,prd-app-071.corp.example,connected,running,green,False,2026/07/08 03:51:00,,,,2019/12/31 11:39:00,,4,1,16384,2420,1,3,3133440,,,normal,,True,TRUE,10.10.110.25,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,3150124,1672048,1672048,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-05] PRD-APP-071/PRD-APP-071.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1070,,42c9af1843b9da13ec856f373bc1a987,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-072,poweredOn,False,False,green,prd-web-072.corp.example,connected,running,green,False,2026/08/07 15:34:00,,,,2017/09/21 23:52:00,,2,0,65536,21602,1,1,40960,,,normal,,True,,10.10.120.51,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,106796,106496,106496,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,21,none,never,,[prod-vmfs-05] PRD-WEB-072/PRD-WEB-072.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1071,,421247ea246998e8d39e198b44007d5a,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-073,poweredOn,False,False,green,prd-ctx-073.corp.example,connected,running,green,False,2026/08/05 04:39:00,,,,2025/09/16 14:28:00,,4,0,8192,2413,1,1,102400,,,normal,,True,TRUE,10.10.110.26,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,110892,110592,110592,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,19,none,never,,[prod-vmfs-01] PRD-CTX-073/PRD-CTX-073.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1072,,428a3c3b801ef1da45b1ed25f1533ae8,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-074,poweredOn,False,False,green,prd-fs-074.corp.example,connected,running,green,False,2026/06/04 08:35:00,,,,2026/05/19 11:38:00,,4,7,2048,124,2,1,61440,,,normal,,True,TRUE,10.10.120.52,PG-Web-120,PG-App-100,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,63788,24010,24010,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,17,none,never,,[prod-vmfs-04] PRD-FS-074/PRD-FS-074.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1073,,42dc4ad5d6016237ac9ed156f63fce41,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-075,poweredOn,False,False,green,prd-web-075.corp.example,connected,running,green,False,2026/07/16 23:06:00,,,,2021/09/21 12:38:00,,2,7,16384,1479,1,4,3379200,,,normal,,True,TRUE,10.10.120.53,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,3395884,1572117,1572117,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,9,none,never,,[prod-vmfs-01] PRD-WEB-075/PRD-WEB-075.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1074,,422e7612473544f9ea83bf007135f221,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-076,poweredOn,False,False,green,prd-rds-076.corp.example,connected,running,green,False,2026/07/13 21:50:00,,,,2021/01/20 23:48:00,,4,0,8192,663,1,1,102400,,,normal,,True,TRUE,10.10.110.27,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,110892,35656,35656,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,19,none,never,,[prod-vmfs-01] PRD-RDS-076/PRD-RDS-076.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1075,,42546e03292bd156db9465701ac70ec0,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-077,poweredOn,False,False,green,prd-fs-077.corp.example,connected,running,green,False,2026/07/13 10:28:00,,,,2017/05/13 08:48:00,,2,2,8192,2457,2,1,40960,,,normal,,True,TRUE,10.10.100.34,PG-App-100,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,49452,32255,32255,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-01] PRD-FS-077/PRD-FS-077.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1076,,42677804c5c5b37af85e06a11dad09b2,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SVC-078,poweredOn,False,False,green,prd-svc-078.corp.example,connected,running,green,False,2026/08/24 00:39:00,,,,2024/05/01 00:55:00,,2,0,24576,9212,1,1,40960,,,normal,,True,TRUE,10.10.100.35,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,65836,48819,48819,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,14,none,never,,[prod-vmfs-02] PRD-SVC-078/PRD-SVC-078.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1077,,42712998a01ac9927f9d3e64c1a6423b,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-079,poweredOn,False,False,green,prd-app-079.corp.example,connected,running,green,False,2026/07/30 17:18:00,,,,2024/11/01 23:55:00,,16,1,32768,9875,1,3,3112960,,,normal,,True,TRUE,10.10.100.36,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,3146028,2392427,2392427,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-01] PRD-APP-079/PRD-APP-079.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1078,,42cc9fd39bdf0377a14923c2f920264c,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-080,poweredOn,False,False,green,prd-app-080.corp.example,connected,running,green,False,2026/07/30 07:01:00,,,,2018/07/29 23:58:00,,2,0,4096,1383,1,1,61440,,,normal,,True,TRUE,10.10.120.55,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,65836,34697,34697,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,19,none,never,,[prod-vmfs-05] PRD-APP-080/PRD-APP-080.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1079,,42276aa6d50755d9a5d04d531e1242e3,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-081,poweredOn,False,False,green,prd-web-081.corp.example,connected,running,green,False,2026/08/28 12:25:00,,,,2018/03/31 04:35:00,,4,1,8192,1491,2,4,1269760,,,normal,,True,TRUE,10.10.120.56,PG-Web-120,PG-App-100,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,1278252,1217917,1217917,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,17,none,never,,[prod-vmfs-02] PRD-WEB-081/PRD-WEB-081.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1080,,42ebff8d30cbd7556232b17a25074181,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-082,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2023/04/07 14:53:00,,4,,8192,0,1,1,81920,,,normal,,True,,,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,90412,43489,43489,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-01] PRD-APP-082/PRD-APP-082.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Red Hat Enterprise Linux 8 (64-bit),,,,vm-1081,,4200a81dd20f87d044656d6b81fb18b3,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-083,poweredOn,False,False,green,prd-rds-083.corp.example,connected,running,green,False,2026/06/15 03:15:00,,,,2024/06/30 11:15:00,,4,2,8192,671,2,2,870400,,,normal,,True,TRUE,10.10.120.57,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,878892,266283,266283,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-01] PRD-RDS-083/PRD-RDS-083.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1082,,427491766090d6978b1e3b9dc34b9fbb,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-084,poweredOn,False,False,green,prd-ctx-084.corp.example,connected,running,green,False,2026/07/09 15:44:00,,,,2019/03/03 13:21:00,,4,2,2048,741,1,2,573440,,,normal,,True,,10.10.120.59,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,575788,539932,539932,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-02] PRD-CTX-084/PRD-CTX-084.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1083,,42cfb87ee9d68f23b489d0707914f8a8,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-085,poweredOn,False,False,green,prd-rds-085.corp.example,connected,notRunning,gray,False,2026/07/09 08:34:00,,,,2021/06/28 08:44:00,,8,2,16384,4719,1,2,266240,,,normal,,True,TRUE,10.10.120.60,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,282924,261552,261552,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,19,none,never,,[prod-vmfs-04] PRD-RDS-085/PRD-RDS-085.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1084,,421986b470b7e868d85480f0dfcaf0b7,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-086,poweredOn,False,False,green,prd-app-086.corp.example,connected,running,green,False,2026/08/11 02:52:00,,,,2019/04/30 06:36:00,,2,2,4096,929,1,1,81920,,,normal,,True,TRUE,10.10.120.61,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,86316,38584,38584,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,14,none,never,,[prod-vmfs-02] PRD-APP-086/PRD-APP-086.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1085,,429f8ded56abf2f143d88870f81dbaa1,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-087,poweredOn,False,False,green,prd-sql-087.corp.example,connected,running,green,False,2026/07/19 01:59:00,,,,2019/09/09 07:15:00,,4,1,8192,1638,2,1,81920,,,normal,,True,,10.10.120.62,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,90412,29998,29998,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,19,none,never,,[prod-vmfs-02] PRD-SQL-087/PRD-SQL-087.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1086,,42df547e7cea2045c268283ee32f2e63,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-WEB-088,poweredOn,False,False,green,prd-web-088.corp.example,connected,running,green,False,2026/08/27 21:21:00,,,,2023/04/04 09:28:00,,4,7,4096,857,1,1,40960,,,normal,,True,,10.10.100.38,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,45356,26720,26720,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-01] PRD-WEB-088/PRD-WEB-088.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),,,vm-1087,,427194ea19bad7aedf615a5cb4323070,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-089,poweredOn,False,False,green,prd-sql-089.corp.example,connected,running,green,False,2026/06/25 01:12:00,,,,2024/09/15 04:25:00,,4,7,16384,6342,1,2,2109440,,,normal,,True,TRUE,10.10.110.28,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,2126124,2099010,2099010,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-01] PRD-SQL-089/PRD-SQL-089.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1088,,42ae8a7890e0a95b697c392387fa841a,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-CTX-090,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2023/10/01 12:30:00,,2,,16384,0,1,3,2406400,,,normal,,True,TRUE,,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,2423084,1549245,1549245,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-01] PRD-CTX-090/PRD-CTX-090.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2012 (64-bit),,,,vm-1089,,42a34db7760debbb3b70b3a124a35cf2,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-091,poweredOn,False,False,green,prd-rds-091.corp.example,connected,running,green,False,2026/06/18 13:50:00,,,,2021/11/08 11:14:00,,2,1,4096,1303,1,2,266240,,,normal,,True,TRUE,10.10.100.39,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,270636,195406,195406,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,17,none,never,,[prod-vmfs-03] PRD-RDS-091/PRD-RDS-091.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1090,,424c955f966b1964fcd6bdca5876fd09,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-RDS-092,poweredOn,False,False,green,prd-rds-092.corp.example,connected,running,green,False,2026/06/20 06:12:00,,,,2018/10/09 00:29:00,,4,0,16384,5247,1,1,40960,,,normal,,True,,10.10.120.64,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,57644,41076,41076,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,20,none,never,,[prod-vmfs-01] PRD-RDS-092/PRD-RDS-092.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1091,,429326df5be4bf519269869861a11729,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-FS-093,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2017/11/30 01:52:00,,12,,4096,0,1,2,112640,,,normal,,True,TRUE,,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,117036,77818,77818,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-01] PRD-FS-093/PRD-FS-093.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Microsoft Windows Server 2019 (64-bit),,,,vm-1092,,42e776b8d534ee1d7f2984f5bec39a37,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-094,poweredOn,False,False,green,prd-sql-094.corp.example,connected,notRunning,gray,False,2026/08/01 16:52:00,,,,2019/07/27 05:33:00,,8,0,16384,2687,1,2,296960,,,normal,,True,TRUE,10.10.120.65,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,313644,205552,205552,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,13,none,never,,[prod-vmfs-04] PRD-SQL-094/PRD-SQL-094.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod02.corp.example,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 R2 Standard,,,vm-1093,,42ae4c84a8c01f05c478f6f1b88ec318,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-095,poweredOn,False,False,green,prd-app-095.corp.example,connected,running,green,False,2026/06/22 05:05:00,,,,2021/12/15 04:18:00,,1,2,32768,10390,1,1,61440,,,normal,,True,TRUE,10.10.100.40,PG-App-100,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,94508,94208,94208,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,True,efi,20,none,never,,[prod-vmfs-04] PRD-APP-095/PRD-APP-095.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod03.corp.example,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8.8 (Ootpa),,,vm-1094,,424b8c5be8dd5e5a1712fb1621a4344f,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-096,poweredOn,False,False,green,prd-app-096.corp.example,connected,running,green,False,2026/06/24 22:54:00,,,,2021/03/17 23:43:00,,4,0,24576,9662,1,2,143360,,,normal,,True,TRUE,10.10.110.29,PG-DB-110,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,168236,150470,150470,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,11,none,never,,[prod-vmfs-03] PRD-APP-096/PRD-APP-096.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod05.corp.example,CentOS 7 (64-bit),CentOS Linux 7 (Core),,,vm-1095,,4241c8ca2a1f955ad499da9945c45a3e,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-SQL-097,poweredOn,False,False,green,prd-sql-097.corp.example,connected,running,green,False,2026/07/13 07:27:00,,,,2022/02/26 16:07:00,,2,0,4096,1400,2,3,4177920,,,normal,,True,TRUE,10.10.100.41,PG-App-100,PG-App-100,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,4182316,1765210,1765210,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,14,none,never,,[prod-vmfs-05] PRD-SQL-097/PRD-SQL-097.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod01.corp.example,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2022 Datacenter,,,vm-1096,,42b96644ad238d36dc322c9739c1e262,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-098,poweredOn,False,False,green,prd-app-098.corp.example,connected,running,green,False,2026/07/05 13:04:00,,,,2017/05/22 13:07:00,,8,7,8192,821,2,2,266240,,,normal,,True,TRUE,10.10.120.66,PG-Web-120,PG-Web-120,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,274732,184678,184678,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,bios,17,none,never,,[prod-vmfs-01] PRD-APP-098/PRD-APP-098.vmx,,,,Owner: app-team,,,,DC-East,Prod-Cluster,esx-prod04.corp.example,Microsoft Windows Server 2019 (64-bit),Microsoft Windows Server 2019 Standard,,,vm-1097,,42431d02ac1e86d8bfbf397bac3e7b0d,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
PRD-APP-099,poweredOff,False,False,green,,connected,notRunning,gray,False,,,,,2025/11/26 12:38:00,,1,,32768,0,1,1,61440,,,normal,,True,TRUE,,PG-Web-120,,,,,,,,1,8192,/DC-East/host/Prod-Cluster/Resources,,Prod,,,notConfigured,,,,,,94508,17704,17704,clusterRestartPriority,none,vmMonitoringDisabled,,,,,,,,,False,efi,20,none,never,,[prod-vmfs-05] PRD-APP-099/PRD-APP-099.vmx,,,,,,,,DC-East,Prod-Cluster,esx-prod06.corp.example,Microsoft Windows Server 2019 (64-bit),,,,vm-1098,,429c2e58ea4e361753f8382b8fb864e4,VMware vCenter Server,8.0.2.0,vcsa01.corp.example,5f3c9a8e-1b2d-4c7e-9a10-2f6b8d4e7c31
